/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/dataset/shddataset/
made weight variables and loss histogram
File not present
Uniform distribution initialization for weights
Epoch 1: loss=15.56590
Epoch 2: loss=6.76699
Epoch 3: loss=4.02935
Epoch 4: loss=3.24984
Epoch 5: loss=2.97109
Epoch 6: loss=2.85438
Epoch 7: loss=2.76462
Epoch 8: loss=2.69280
Epoch 9: loss=2.63173
Epoch 10: loss=2.56730
Trained for 10 epochs
Training accuracy: 0.264
Epoch 1: loss=2.51880
Epoch 2: loss=2.46791
Epoch 3: loss=2.41942
Epoch 4: loss=2.37745
Epoch 5: loss=2.34307
Epoch 6: loss=2.30334
Epoch 7: loss=2.26803
Epoch 8: loss=2.23268
Epoch 9: loss=2.21468
Epoch 10: loss=2.18107
Epoch 11: loss=2.15036
Epoch 12: loss=2.11688
Epoch 13: loss=2.09069
Epoch 14: loss=2.07149
Epoch 15: loss=2.05302
Epoch 16: loss=2.02089
Epoch 17: loss=2.00273
Epoch 18: loss=1.97598
Epoch 19: loss=1.95913
Epoch 20: loss=1.94173
Epoch 21: loss=1.91728
Epoch 22: loss=1.89390
Epoch 23: loss=1.87904
Epoch 24: loss=1.85312
Epoch 25: loss=1.84785
Epoch 26: loss=1.82871
Epoch 27: loss=1.81462
Epoch 28: loss=1.79258
Epoch 29: loss=1.77490
Epoch 30: loss=1.75630
Epoch 31: loss=1.74190
Epoch 32: loss=1.73837
Epoch 33: loss=1.71465
Epoch 34: loss=1.69839
Epoch 35: loss=1.67353
Epoch 36: loss=1.66887
Epoch 37: loss=1.65770
Epoch 38: loss=1.63988
Epoch 39: loss=1.62364
Epoch 40: loss=1.61283
Epoch 41: loss=1.59994
Epoch 42: loss=1.58960
Epoch 43: loss=1.57828
Epoch 44: loss=1.56972
Epoch 45: loss=1.55745
Epoch 46: loss=1.54119
Epoch 47: loss=1.53576
Epoch 48: loss=1.51407
Epoch 49: loss=1.50970
Epoch 50: loss=1.49516
Epoch 51: loss=1.48905
Epoch 52: loss=1.47846
Epoch 53: loss=1.46238
Epoch 54: loss=1.45723
Epoch 55: loss=1.44592
Epoch 56: loss=1.43256
Epoch 57: loss=1.42310
Epoch 58: loss=1.41899
Epoch 59: loss=1.41168
Epoch 60: loss=1.40688
Epoch 61: loss=1.38729
Epoch 62: loss=1.37019
Epoch 63: loss=1.36288
Epoch 64: loss=1.35739
Epoch 65: loss=1.33733
Epoch 66: loss=1.33334
Epoch 67: loss=1.32392
Epoch 68: loss=1.32348
Epoch 69: loss=1.31122
Epoch 70: loss=1.30667
Epoch 71: loss=1.30396
Epoch 72: loss=1.29174
Epoch 73: loss=1.27610
Epoch 74: loss=1.26942
Epoch 75: loss=1.26457
Epoch 76: loss=1.24795
Epoch 77: loss=1.24614
Epoch 78: loss=1.24084
Epoch 79: loss=1.23354
Epoch 80: loss=1.22519
Epoch 81: loss=1.21736
Epoch 82: loss=1.21203
Epoch 83: loss=1.20170
Epoch 84: loss=1.19879
Epoch 85: loss=1.18654
Epoch 86: loss=1.17614
Epoch 87: loss=1.17078
Epoch 88: loss=1.17166
Epoch 89: loss=1.15348
Epoch 90: loss=1.14417
Epoch 91: loss=1.13715
Epoch 92: loss=1.13817
Epoch 93: loss=1.12419
Epoch 94: loss=1.12064
Epoch 95: loss=1.12066
Epoch 96: loss=1.11256
Epoch 97: loss=1.09770
Epoch 98: loss=1.09309
Epoch 99: loss=1.09215
Epoch 100: loss=1.08787
Epoch 101: loss=1.07135
Epoch 102: loss=1.06402
Epoch 103: loss=1.05754
Epoch 104: loss=1.05865
Epoch 105: loss=1.05710
Epoch 106: loss=1.04727
Epoch 107: loss=1.03689
Epoch 108: loss=1.02822
Epoch 109: loss=1.02690
Epoch 110: loss=1.02231
Epoch 111: loss=1.01345
Epoch 112: loss=1.00770
Epoch 113: loss=0.99968
Epoch 114: loss=0.99983
Epoch 115: loss=0.99057
Epoch 116: loss=0.98898
Epoch 117: loss=0.98454
Epoch 118: loss=0.97375
Epoch 119: loss=0.96952
Epoch 120: loss=0.96073
Epoch 121: loss=0.95956
Epoch 122: loss=0.94660
Epoch 123: loss=0.94860
Epoch 124: loss=0.93942
Epoch 125: loss=0.93933
Epoch 126: loss=0.93190
Epoch 127: loss=0.92278
Epoch 128: loss=0.91756
Epoch 129: loss=0.91748
Epoch 130: loss=0.90946
Epoch 131: loss=0.90078
Epoch 132: loss=0.90106
Epoch 133: loss=0.89621
Epoch 134: loss=0.88946
Epoch 135: loss=0.88335
Epoch 136: loss=0.88406
Epoch 137: loss=0.87326
Epoch 138: loss=0.87486
Epoch 139: loss=0.87061
Epoch 140: loss=0.86391
Epoch 141: loss=0.85773
Epoch 142: loss=0.85429
Epoch 143: loss=0.84753
Epoch 144: loss=0.84973
Epoch 145: loss=0.84016
Epoch 146: loss=0.83239
Epoch 147: loss=0.82740
Epoch 148: loss=0.82247
Epoch 149: loss=0.81657
Epoch 150: loss=0.81525
Epoch 151: loss=0.81222
Epoch 152: loss=0.80338
Epoch 153: loss=0.81224
Epoch 154: loss=0.80833
Epoch 155: loss=0.79823
Epoch 156: loss=0.79144
Epoch 157: loss=0.79283
Epoch 158: loss=0.78454
Epoch 159: loss=0.78455
Epoch 160: loss=0.77645
Epoch 161: loss=0.77469
Epoch 162: loss=0.78027
Epoch 163: loss=0.76819
Epoch 164: loss=0.77123
Epoch 165: loss=0.76464
Epoch 166: loss=0.75796
Epoch 167: loss=0.75660
Epoch 168: loss=0.75078
Epoch 169: loss=0.75213
Epoch 170: loss=0.74258
Epoch 171: loss=0.74631
Epoch 172: loss=0.73536
Epoch 173: loss=0.72908
Epoch 174: loss=0.73081
Epoch 175: loss=0.73342
Epoch 176: loss=0.72742
Epoch 177: loss=0.72685
Epoch 178: loss=0.71653
Epoch 179: loss=0.71382
Epoch 180: loss=0.70602
Epoch 181: loss=0.71180
Epoch 182: loss=0.71201
Epoch 183: loss=0.70486
Epoch 184: loss=0.70015
Epoch 185: loss=0.70077
Epoch 186: loss=0.69672
Epoch 187: loss=0.69732
Epoch 188: loss=0.69090
Epoch 189: loss=0.68794
Epoch 190: loss=0.68230
Epoch 191: loss=0.67889
Epoch 192: loss=0.67728
Epoch 193: loss=0.67021
Epoch 194: loss=0.67919
Epoch 195: loss=0.67307
Epoch 196: loss=0.66757
Epoch 197: loss=0.65923
Epoch 198: loss=0.65738
Epoch 199: loss=0.65460
Epoch 200: loss=0.65701
Epoch 201: loss=0.65528
Epoch 202: loss=0.65480
Epoch 203: loss=0.65359
Epoch 204: loss=0.64358
Epoch 205: loss=0.64151
Epoch 206: loss=0.63635
Epoch 207: loss=0.63546
Epoch 208: loss=0.63011
Epoch 209: loss=0.62919
Epoch 210: loss=0.63195
Epoch 211: loss=0.62935
Epoch 212: loss=0.62351
Epoch 213: loss=0.63395
Epoch 214: loss=0.62145
Epoch 215: loss=0.62127
Epoch 216: loss=0.61361
Epoch 217: loss=0.61294
Epoch 218: loss=0.61021
Epoch 219: loss=0.61110
Epoch 220: loss=0.60937
Epoch 221: loss=0.60747
Epoch 222: loss=0.60389
Epoch 223: loss=0.59956
Epoch 224: loss=0.59543
Epoch 225: loss=0.59820
Epoch 226: loss=0.59360
Epoch 227: loss=0.59333
Epoch 228: loss=0.58926
Epoch 229: loss=0.59355
Epoch 230: loss=0.58881
Epoch 231: loss=0.58128
Epoch 232: loss=0.58455
Epoch 233: loss=0.57985
Epoch 234: loss=0.58249
Epoch 235: loss=0.57973
Epoch 236: loss=0.57530
Epoch 237: loss=0.57292
Epoch 238: loss=0.56743
Epoch 239: loss=0.56979
Epoch 240: loss=0.56891
Epoch 241: loss=0.56616
Epoch 242: loss=0.56399
Epoch 243: loss=0.56173
Epoch 244: loss=0.55684
Epoch 245: loss=0.55600
Epoch 246: loss=0.55371
Epoch 247: loss=0.54946
Epoch 248: loss=0.55015
Epoch 249: loss=0.54556
Epoch 250: loss=0.54970
Epoch 251: loss=0.54924
Epoch 252: loss=0.54713
Epoch 253: loss=0.53725
Epoch 254: loss=0.54239
Epoch 255: loss=0.54116
Epoch 256: loss=0.53479
Epoch 257: loss=0.53972
Epoch 258: loss=0.53028
Epoch 259: loss=0.53342
Epoch 260: loss=0.53066
Epoch 261: loss=0.53229
Epoch 262: loss=0.52561
Epoch 263: loss=0.52320
Epoch 264: loss=0.52380
Epoch 265: loss=0.52102
Epoch 266: loss=0.51676
Epoch 267: loss=0.51751
Epoch 268: loss=0.51939
Epoch 269: loss=0.51104
Epoch 270: loss=0.50833
Epoch 271: loss=0.50762
Epoch 272: loss=0.50309
Epoch 273: loss=0.50372
Epoch 274: loss=0.50671
Epoch 275: loss=0.50702
Epoch 276: loss=0.50393
Epoch 277: loss=0.50432
Epoch 278: loss=0.49929
Epoch 279: loss=0.49741
Epoch 280: loss=0.49840
Epoch 281: loss=0.49894
Epoch 282: loss=0.49646
Epoch 283: loss=0.49152
Epoch 284: loss=0.48757
Epoch 285: loss=0.49027
Epoch 286: loss=0.48966
Epoch 287: loss=0.48099
Epoch 288: loss=0.48783
Epoch 289: loss=0.48569
Epoch 290: loss=0.48348
Epoch 291: loss=0.47421
Epoch 292: loss=0.47636
Epoch 293: loss=0.47522
Epoch 294: loss=0.47237
Epoch 295: loss=0.47515
Epoch 296: loss=0.47187
Epoch 297: loss=0.47217
Epoch 298: loss=0.46980
Epoch 299: loss=0.46365
Epoch 300: loss=0.46790
Epoch 301: loss=0.46671
Epoch 302: loss=0.46362
Epoch 303: loss=0.46293
Epoch 304: loss=0.45720
Epoch 305: loss=0.45702
Epoch 306: loss=0.46101
Epoch 307: loss=0.45878
Epoch 308: loss=0.45459
Epoch 309: loss=0.45912
Epoch 310: loss=0.45387
Epoch 311: loss=0.44965
Epoch 312: loss=0.45431
Epoch 313: loss=0.45307
Epoch 314: loss=0.44543
Epoch 315: loss=0.44772
Epoch 316: loss=0.44259
Epoch 317: loss=0.44078
Epoch 318: loss=0.44075
Epoch 319: loss=0.43589
Epoch 320: loss=0.44187
Epoch 321: loss=0.43744
Epoch 322: loss=0.43603
Epoch 323: loss=0.43626
Epoch 324: loss=0.43227
Epoch 325: loss=0.43326
Epoch 326: loss=0.43433
Epoch 327: loss=0.42743
Epoch 328: loss=0.42616
Epoch 329: loss=0.42771
Epoch 330: loss=0.42747
Epoch 331: loss=0.42594
Epoch 332: loss=0.42175
Epoch 333: loss=0.41943
Epoch 334: loss=0.42187
Epoch 335: loss=0.41700
Epoch 336: loss=0.41836
Epoch 337: loss=0.41627
Epoch 338: loss=0.41197
Epoch 339: loss=0.41332
Epoch 340: loss=0.41469
Epoch 341: loss=0.41293
Epoch 342: loss=0.41365
Epoch 343: loss=0.40747
Epoch 344: loss=0.40981
Epoch 345: loss=0.40913
Epoch 346: loss=0.40414
Epoch 347: loss=0.40551
Epoch 348: loss=0.39896
Epoch 349: loss=0.40318
Epoch 350: loss=0.40274
Epoch 351: loss=0.40037
Epoch 352: loss=0.40274
Epoch 353: loss=0.39576
Epoch 354: loss=0.39622
Epoch 355: loss=0.39437
Epoch 356: loss=0.39777
Epoch 357: loss=0.39564
Epoch 358: loss=0.39511
Epoch 359: loss=0.39262
Epoch 360: loss=0.39052
Epoch 361: loss=0.39219
Epoch 362: loss=0.39224
Epoch 363: loss=0.38702
Epoch 364: loss=0.38417
Epoch 365: loss=0.38551
Epoch 366: loss=0.38592
Epoch 367: loss=0.38631
Epoch 368: loss=0.38221
Epoch 369: loss=0.38394
Epoch 370: loss=0.37972
Epoch 371: loss=0.38156
Epoch 372: loss=0.38265
Epoch 373: loss=0.37779
Epoch 374: loss=0.37270
Epoch 375: loss=0.37588
Epoch 376: loss=0.36977
Epoch 377: loss=0.37520
Epoch 378: loss=0.37257
Epoch 379: loss=0.37231
Epoch 380: loss=0.37335
Epoch 381: loss=0.37152
Epoch 382: loss=0.36616
Epoch 383: loss=0.36884
Epoch 384: loss=0.36771
Epoch 385: loss=0.36636
Epoch 386: loss=0.36675
Epoch 387: loss=0.35942
Epoch 388: loss=0.36249
Epoch 389: loss=0.36657
Epoch 390: loss=0.35995
Epoch 391: loss=0.36100
Epoch 392: loss=0.35968
Epoch 393: loss=0.35678
Epoch 394: loss=0.35843
Epoch 395: loss=0.35513
Epoch 396: loss=0.35495
Epoch 397: loss=0.35514
Epoch 398: loss=0.35622
Epoch 399: loss=0.35227
Epoch 400: loss=0.35073
Epoch 401: loss=0.34755
Epoch 402: loss=0.34400
Epoch 403: loss=0.34780
Epoch 404: loss=0.34604
