/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
init done
Epoch 1: loss=3.21687
Epoch 2: loss=2.89916
Epoch 3: loss=2.80925
Epoch 4: loss=2.73039
Epoch 5: loss=2.65735
Epoch 6: loss=2.59342
Epoch 7: loss=2.52386
Epoch 8: loss=2.46132
Epoch 9: loss=2.39405
Epoch 10: loss=2.33347
Epoch 11: loss=2.26996
Epoch 12: loss=2.20394
Epoch 13: loss=2.14811
Epoch 14: loss=2.08938
Epoch 15: loss=2.04077
Epoch 16: loss=1.98644
Epoch 17: loss=1.94154
Epoch 18: loss=1.90401
Epoch 19: loss=1.85832
Epoch 20: loss=1.82171
Epoch 21: loss=1.77918
Epoch 22: loss=1.74393
Epoch 23: loss=1.71131
Epoch 24: loss=1.67427
Epoch 25: loss=1.64069
Epoch 26: loss=1.61147
Epoch 27: loss=1.58146
Epoch 28: loss=1.55021
Epoch 29: loss=1.52768
Epoch 30: loss=1.50646
Epoch 31: loss=1.48555
Epoch 32: loss=1.45603
Epoch 33: loss=1.43357
Epoch 34: loss=1.41019
Epoch 35: loss=1.38717
Epoch 36: loss=1.36891
Epoch 37: loss=1.34391
Epoch 38: loss=1.32116
Epoch 39: loss=1.30340
Epoch 40: loss=1.28852
Epoch 41: loss=1.27281
Epoch 42: loss=1.24789
Epoch 43: loss=1.22759
Epoch 44: loss=1.21325
Epoch 45: loss=1.19013
Epoch 46: loss=1.17022
Epoch 47: loss=1.15206
Epoch 48: loss=1.14111
Epoch 49: loss=1.12589
Epoch 50: loss=1.11239
Epoch 51: loss=1.09433
Epoch 52: loss=1.08163
Epoch 53: loss=1.06918
Epoch 54: loss=1.05144
Epoch 55: loss=1.04012
Epoch 56: loss=1.03583
Epoch 57: loss=1.01992
Epoch 58: loss=1.01330
Epoch 59: loss=0.99288
Epoch 60: loss=0.97847
Epoch 61: loss=0.96556
Epoch 62: loss=0.95919
Epoch 63: loss=0.94287
Epoch 64: loss=0.93329
Epoch 65: loss=0.92161
Epoch 66: loss=0.91360
Epoch 67: loss=0.90049
Epoch 68: loss=0.89431
Epoch 69: loss=0.88074
Epoch 70: loss=0.86745
Epoch 71: loss=0.86834
Epoch 72: loss=0.86219
