/home/venkat/Unreliable_Synaptic_Transmission/Deepti/DOPcodes/SHD/dataset/shddataset/
init done
Epoch 1: loss=3.37292
Epoch 2: loss=2.91486
Epoch 3: loss=2.85681
Epoch 4: loss=2.80158
Epoch 5: loss=2.74599
Epoch 6: loss=2.68601
Epoch 7: loss=2.62461
Epoch 8: loss=2.55323
Epoch 9: loss=2.47877
Epoch 10: loss=2.39748
Epoch 11: loss=2.31196
Epoch 12: loss=2.22776
Epoch 13: loss=2.16355
Epoch 14: loss=2.09087
Epoch 15: loss=2.02861
Epoch 16: loss=1.96966
Epoch 17: loss=1.91532
Epoch 18: loss=1.86318
Epoch 19: loss=1.81869
Epoch 20: loss=1.76782
Epoch 21: loss=1.72112
Epoch 22: loss=1.68619
Epoch 23: loss=1.64134
Epoch 24: loss=1.60899
Epoch 25: loss=1.58085
Epoch 26: loss=1.54411
Epoch 27: loss=1.50604
Epoch 28: loss=1.47055
Epoch 29: loss=1.43997
Epoch 30: loss=1.42137
Epoch 31: loss=1.38997
Epoch 32: loss=1.36496
Epoch 33: loss=1.33630
Epoch 34: loss=1.31049
Epoch 35: loss=1.28801
Epoch 36: loss=1.26156
Epoch 37: loss=1.23649
Epoch 38: loss=1.21898
Epoch 39: loss=1.18918
Epoch 40: loss=1.17404
Epoch 41: loss=1.14967
Epoch 42: loss=1.13143
Epoch 43: loss=1.11564
Epoch 44: loss=1.10189
Epoch 45: loss=1.07517
Epoch 46: loss=1.07224
Epoch 47: loss=1.04259
Epoch 48: loss=1.02558
Epoch 49: loss=1.00711
Epoch 50: loss=1.00168
Epoch 51: loss=0.97076
Epoch 52: loss=0.96128
Epoch 53: loss=0.95376
Epoch 54: loss=0.93059
Epoch 55: loss=0.90981
Epoch 56: loss=0.89900
Epoch 57: loss=0.88660
Epoch 58: loss=0.87393
Epoch 59: loss=0.86568
Epoch 60: loss=0.85816
Epoch 61: loss=0.85125
Epoch 62: loss=0.83395
Epoch 63: loss=0.81929
Epoch 64: loss=0.81521
Epoch 65: loss=0.80054
Epoch 66: loss=0.79109
Epoch 67: loss=0.77893
Epoch 68: loss=0.75961
Epoch 69: loss=0.75414
Epoch 70: loss=0.74559
Epoch 71: loss=0.73530
Epoch 72: loss=0.72868
Epoch 73: loss=0.71761
Epoch 74: loss=0.70952
Epoch 75: loss=0.69597
Epoch 76: loss=0.68953
Epoch 77: loss=0.68864
Epoch 78: loss=0.68558
Epoch 79: loss=0.66697
Epoch 80: loss=0.66258
Epoch 81: loss=0.65824
Epoch 82: loss=0.64657
Epoch 83: loss=0.64568
Epoch 84: loss=0.63640
Epoch 85: loss=0.62638
Epoch 86: loss=0.61382
Epoch 87: loss=0.60738
Epoch 88: loss=0.60278
Epoch 89: loss=0.59442
Epoch 90: loss=0.59086
Epoch 91: loss=0.58561
Epoch 92: loss=0.57374
Epoch 93: loss=0.56720
Epoch 94: loss=0.56533
Epoch 95: loss=0.56004
